customer_id;customer_name;email;phone;country;city;address;postal_code;birth_date;gender;registration_date;purchase_history;loyalty_points
C0001;María Cristina Rivera;maría cristina.rivera@example.com;+34745 94 88 37;España;Girona;Alameda de Lope Amorós 788 Puerta 6 ;3949;06/05/1964;Otro;10/02/2020;7 compras;58
C0002;Artemio Méndez;artemio.méndez@example.com;+34 846 036 297;España;Granada;Alameda de Trinidad Cisneros 63;12299;29/04/1956;Masculino;18/12/2019;13 compras;129
C0003;Nacio Lerma;nacio.lerma@example.com;+34 730 415 587;España;León;Calle de Toño Pagès 676 Piso 6 ;8096;12/01/1974;Otro;17/01/2022;10 compras;242
C0004;Anastasio Araujo;anastasio.araujo@example.com;+34886 541 375;España;Granada;Avenida Edelmiro Conde 22;61744;08/12/1995;Masculino;14/10/2022;5 compras;375
C0005;Néstor Trillo;néstor.trillo@example.com;+34 646101710;España;Castellón;C. de Jose Francisco Tomas 926;86262;09/02/1962;Masculino;25/10/2021;18 compras;328
C0006;Natalio Santos;natalio.santos@example.com;+34746 179 617;España;Murcia;Vial de Dorotea Bejarano 2 Puerta 8 ;40346;03/03/1974;Otro;02/11/2021;10 compras;452
C0007;Amparo Vila;amparo.vila@example.com;+34741 339 501;España;Ávila;Cuesta de Jenny Cañete 31;94274;21/07/1963;Femenino;16/11/2021;3 compras;742
C0008;Edu Cadenas;edu.cadenas@example.com;+34926 947 149;España;Las Palmas;Cuesta Azeneth Morell 9 Puerta 4 ;89767;12/08/1987;Masculino;22/06/2021;4 compras;709
C0009;Jose Antonio Torres;jose antonio.torres@example.com;+34943 702 454;España;Baleares;Cañada Dionisia Castillo 72;75479;14/04/1971;Otro;27/12/2018;6 compras;140
C0010;Joaquín Talavera;joaquín.talavera@example.com;+34 717507397;España;Lugo;Camino Rufino Salas 317;62588;10/02/1972;Masculino;05/10/2020;7 compras;999
C0011;Maricruz Zabala;maricruz.zabala@example.com;+34 748259462;España;Lugo;Ronda de Marianela Botella 82 Puerta 1 ;73689;10/09/1954;Femenino;08/04/2019;3 compras;294
C0012;Asunción Montenegro;asunción.montenegro@example.com;+34 745 66 53 39;España;Lleida;Alameda de Cecilio Sanjuan 98;80973;09/08/2000;Femenino;09/02/2020;13 compras;510
C0013;Valentina Blanca;valentina.blanca@example.com;+34737 132 315;España;Salamanca;Callejón Pacífica Fonseca 60;77068;19/07/1992;Otro;25/05/2020;4 compras;744
C0014;Vicente Benítez;vicente.benítez@example.com;+34714 38 88 11;España;La Coruña;Cañada de Cloe Valencia 631;68272;23/10/1986;Otro;30/11/2022;16 compras;366
C0015;Calixto Fernández;calixto.fernández@example.com;+34 866 114 734;España;Ceuta;Vial Arturo Camacho 87 Apt. 67 ;83404;04/12/1994;Masculino;20/03/2021;2 compras;810
C0016;Gervasio Andrés;gervasio.andrés@example.com;+34 705 90 37 85;España;Melilla;Pasadizo Bernabé Alvarado 59 Puerta 2 ;48502;16/06/1988;Masculino;04/01/2019;16 compras;142
C0017;Edu Benavente;edu.benavente@example.com;+34 842878020;España;La Coruña;Rambla Pilar Santamaria 2 Piso 2 ;43968;12/04/1996;Masculino;16/01/2020;9 compras;764
C0018;Eli Galvez;eli.galvez@example.com;34828465874;España;Jaén;Urbanización de Carla Pla 11 Piso 3 ;76599;13/10/1975;Femenino;25/05/2021;19 compras;12
C0019;Eugenio Lumbreras;eugenio.lumbreras@example.com;+34728 451 862;España;Barcelona;Paseo Máximo Prada 70;59835;28/03/1984;Masculino;26/09/2020;13 compras;120
C0020;Manuel Viñas;manuel.viñas@example.com;+34883 73 21 00;España;Almería;Vial de Teobaldo Martorell 89;85563;22/10/1974;Masculino;22/07/2022;12 compras;944
C0021;Felipa Barrena;felipa.barrena@example.com;+34 735 052 621;España;Ciudad;Acceso Josué Cifuentes 2 Puerta 1 ;65244;04/11/1978;Femenino;02/07/2023;16 compras;6
C0022;Marcial Sancho;marcial.sancho@example.com;+34 972715058;España;Asturias;Plaza Lupe Pulido 888 Puerta 3 ;93160;12/05/2000;Masculino;21/09/2019;9 compras;608
C0023;Rodrigo Téllez;rodrigo.téllez@example.com;+34 705 61 63 62;España;Zamora;Pasaje de Celestina Torre 419;97524;29/03/1962;Masculino;19/06/2021;3 compras;908
C0024;Leocadia Samper;leocadia.samper@example.com;+34 609 22 31 87;España;Ourense;Camino Yago Juárez 74;40093;22/11/1961;Femenino;03/08/2020;12 compras;211
C0025;Maura Manzano;maura.manzano@example.com;+34921 522 936;España;Cantabria;Glorieta de Pancho Cabello 447 Piso 1 ;789;09/05/2003;Femenino;17/06/2021;1 compras;38
C0026;Mireia Echeverría;mireia.echeverría@example.com;+34883 97 68 12;España;Valencia;Glorieta Gabino Duque 8;23699;11/12/1998;Femenino;30/08/2022;13 compras;530
C0027;Ibán Bustos;ibán.bustos@example.com;+34924 99 87 80;España;Santa Cruz de Tenerife;Paseo Severo Salvador 64;34977;05/09/1959;Masculino;09/01/2019;8 compras;577
C0028;Mario Roldán;mario.roldán@example.com;+34 709 47 07 38;España;Córdoba;Via de Aurelio Acedo 1 Piso 7 ;92690;15/09/1983;Masculino;09/10/2020;12 compras;56
C0029;Isabela Arana;isabela.arana@example.com;34703454300;España;La Rioja;C. Cayetana Coronado 108 Apt. 51 ;37517;02/02/1982;Femenino;01/10/2020;14 compras;686
C0030;Arcelia Manuel;arcelia.manuel@example.com;+34735 32 57 92;España;Tarragona;Callejón Tania Mancebo 8 Apt. 04 ;57016;10/08/1994;Otro;25/09/2019;2 compras;204
C0031;Balduino Morata;balduino.morata@example.com;+34910 32 17 87;España;Cantabria;Avenida de Eutimio Mariscal 14;59248;04/06/1956;Otro;31/08/2021;5 compras;589
C0032;Consuelo Gutiérrez;consuelo.gutiérrez@example.com;+34739 06 54 02;España;Málaga;Urbanización Abril Domingo 51;59839;15/07/1992;Otro;17/09/2023;9 compras;598
C0033;Feliciano Solera;feliciano.solera@example.com;+34 732 586 333;España;Granada;Alameda de Concepción Infante 165;23165;14/10/1958;Masculino;07/04/2023;2 compras;954
